attempt_id,student_id,question_id,timestamp,response,is_correct,time_seconds,skills_missed
A1761454306,S1,Q-LS1-2,1761454306,B,1,0,[]
A1761454303,S1,Q-LS1-2,1761454303,B,1,0,[]
A1761454299,S1,Q-LS1-2,1761454299,B,1,0,[]
A1761454291,S1,Q-LS1-1,1761454291,A,1,0,[]
A1761454288,S1,Q-LS1-1,1761454288,A,1,0,[]
A604e73104425459fa6707b1ef4c03f2a,S1,Q-LS1-1,1761454271,Quick:correct,1,0,[]
Ae22606d33b7e4ba987f07864c56b637b,S1,Q-LS1-1,1761454269,Quick:correct,1,0,[]
A1761454259,S1,Q-LS1-2,1761454259,B,1,0,[]
A1761454252,S1,Q-LS1-2,1761454252,B,1,0,[]
A82eaf5568b0c426e96649927e692bddf,S1,Q-LS1-1,1761454233,Quick:correct,1,0,[]
A2bce3bf1d5ad4da6abcb70ae9477cb3e,S1,Q-LS1-1,1761454223,Quick:correct,1,0,[]
A2f06c28991cf4f129ae44063c01c5b87,S1,Q-LS1-1,1761454220,Quick:correct,1,0,[]
A8d59af6e809a4863bdd5ef60ad649830,S1,Q-LS1-1,1761454196,Quick:correct,1,0,[]
Acdaa483c7fe645859315ceeb609bef83,S1,Q-LS1-1,1761454193,Quick:correct,1,0,[]
A9c8ed1433ceb4e4081ee2650ca460da3,S1,Q-LS1-1,1761454191,Quick:correct,1,0,[]
Af781e629ac074f05ad5947f3ca405794,S1,Q-LS1-1,1761454189,Quick:correct,1,0,[]
A6b3394aa9e0f457c8600b4f11ba8abb9,S1,Q-LS1-1,1761454187,Quick:correct,1,0,[]
Abddff04019204badaf063cb9926b0caa,S1,Q-LS1-1,1761454186,Quick:correct,1,0,[]
A2c4701b6692644ee821ec01841560bd0,S1,Q-LS1-1,1761454184,Quick:correct,1,0,[]
Ac0fa6cadc2bd4c91b12f23ae3b375d9e,S2,Q-LS1-1,1761454176,Quick:correct,1,0,[]
A3792fb5d82b0483f8b0df0fe91eec826,S2,Q-LS1-1,1761454174,Quick:correct,1,0,[]
Ae8a7b554432e4b6dafabda398465c2b5,S2,Q-LS1-1,1761454172,Quick:correct,1,0,[]
A67623c01b55b4b239dc3bfe0aa9b0d08,S1,Q-OBJ-ESS1-HS-1-quick,1761454150,Quick:correct,1,0,[]
A30da7c4a4744416abfbda6d079b413cd,S1,Q-OBJ-ESS1-HS-1-quick,1761453961,Quick:incorrect,0,0,[]
A2d5fdec21f7d4722be31a0ae2381bb2b,S1,Q-OBJ-ESS1-HS-1-quick,1761453957,Quick:correct,1,0,[]
A8225d45b5f044bfe81f9aef6799a3593,S1,Q-OBJ-ESS1-HS-1-quick,1761453953,Quick:incorrect,0,0,[]
Aaf32fedd76a84a29aef4dd9d597eff59,S1,Q-OBJ-ESS1-HS-1-quick,1761453945,Quick:incorrect,0,0,[]
A1761453939,S2,Q-LS1-2,1761453939,B,1,0,[]
A1761453935,S2,Q-LS1-2,1761453935,B,1,0,[]
A1761453932,S2,Q-LS1-2,1761453932,B,1,0,[]
A1761453928,S2,Q-LS1-2,1761453928,B,1,0,[]
A1761453925,S2,Q-LS1-2,1761453925,B,1,0,[]
A1761453921,S2,Q-LS1-2,1761453921,B,1,0,[]
A1761453918,S2,Q-LS1-2,1761453918,A,0,0,[]
A1761453916,S2,Q-LS1-2,1761453916,A,0,0,[]
A1761453915,S2,Q-LS1-2,1761453915,B,1,0,[]
A1761453909,S2,Q-LS1-2,1761453909,A,0,0,[]
A1761453353,S2,Q-LS1-2,1761453353,B,1,0,[]
A1761453347,S2,Q-LS1-2,1761453347,B,1,0,[]
A1761453341,S2,Q-LS1-2,1761453341,B,1,0,[]
A1761453336,S2,Q-LS1-2,1761453336,B,1,0,[]
A1761453332,S2,Q-LS1-2,1761453332,B,1,0,[]
A1761453325,S2,Q-LS1-2,1761453325,B,1,0,[]
A1761453319,S2,Q-LS1-2,1761453319,B,1,0,[]
A1761453314,S2,Q-LS1-2,1761453314,A,0,0,[]
A1761452162,S2,Q-LS1-1,1761452162,A,1,0,[]
A1761452150,S2,Q-LS1-1,1761452150,A,1,0,[]
A1761452147,S2,Q-LS1-1,1761452147,B,0,0,[]
A1761452114,S2,Q-LS1-1,1761452114,B,0,0,[]
A1761452095,S1,Q-LS1-1,1761452095,A,1,0,[]
A1761451977,S2,Q-LS1-1,1761451977,Quick:0,0,0,[]
A1761451968,S2,Q-LS1-2,1761451968,Quick:0,0,0,[]
A1761451641,S2,Q-LS1-2,1761451641,Quick:0,0,0,[]
A1761451607,S2,Q-LS1-1,1761451607,Quick:0,0,0,[]
A1761450135,S1,Q-LS1-1,1761450135,Quick:0,0,0,[]
A1761449757,S1,Q-LS1-1,1761449757,Quick:0,0,0,[]
A1761427447,S1,Q-OBJ-ESS1-HS-1-quick,1761427447,Quick:correct,1,0,[]
A1761427444,S1,Q-OBJ-ESS1-HS-1-quick,1761427444,Quick:incorrect,0,0,[]
A1761174108,S1,Q-LS1-2,1761174108,A,0,0,[]
A1761174105,S1,Q-LS1-2,1761174105,A,0,0,[]
A1761174103,S1,Q-LS1-2,1761174103,A,0,0,[]
A1761174100,S1,Q-LS1-2,1761174100,C,0,0,[]
A1761174096,S1,Q-LS1-2,1761174096,A,0,0,[]
A1761173883,S1,Q-LS1-2,1761173883,B,1,0,[]
A1761173880,S1,Q-LS1-2,1761173880,B,1,0,[]
A1761173878,S1,Q-LS1-2,1761173878,B,1,0,[]
A1761173875,S1,Q-LS1-2,1761173875,B,1,0,[]
A1761173871,S1,Q-LS1-2,1761173871,B,1,0,[]
A1761173862,S1,Q-LS1-2,1761173862,A,0,0,[]
A1761173854,S1,Q-LS1-2,1761173854,A,0,0,[]
A1761173846,S1,Q-LS1-1,1761173846,A,1,0,[]
A1761173842,S1,Q-LS1-1,1761173842,A,1,0,[]
A1761173840,S1,Q-LS1-1,1761173840,A,1,0,[]
A1761173836,S1,Q-LS1-1,1761173836,A,1,0,[]
A1761173833,S1,Q-LS1-1,1761173833,A,1,0,[]
A1761173829,S1,Q-LS1-1,1761173829,A,1,0,[]
A1761137138,S1,Q-LS1-2,1761137138,A,0,0,[]
A1761137134,S1,Q-LS1-2,1761137134,A,0,0,[]
A1761137129,S1,Q-LS1-2,1761137129,A,0,0,[]
A1761137100,S1,Q-LS1-1,1761137100,A,1,0,[]
A1761137098,S1,Q-LS1-1,1761137098,A,1,0,[]
A1761137096,S1,Q-LS1-1,1761137096,A,1,0,[]
A1761137094,S1,Q-LS1-1,1761137094,A,1,0,[]
A1761137092,S1,Q-LS1-1,1761137092,A,1,0,[]
A1761137089,S1,Q-LS1-1,1761137089,A,1,0,[]
A1761137050,S1,Q-LS1-1,1761137050,B,0,0,[]
A1761137046,S1,Q-LS1-1,1761137046,D,0,0,[]
A1761137043,S1,Q-LS1-1,1761137043,C,0,0,[]
A1761137041,S1,Q-LS1-1,1761137041,B,0,0,[]
A1761137014,S1,Q-LS1-1,1761137014,B,0,0,[]
A1761136839,S1,Q-LS1-1,1761136839,A,1,0,[]
A1761136836,S1,Q-LS1-1,1761136836,A,1,0,[]
A1761136831,S1,Q-LS1-1,1761136831,A,1,0,[]
A1761136824,S1,Q-LS1-1,1761136824,A,1,0,[]
A1761136820,S1,Q-LS1-1,1761136820,A,1,0,[]
A1761136817,S1,Q-LS1-1,1761136817,A,1,0,[]
A1761136814,S1,Q-LS1-1,1761136814,A,1,0,[]
A1761136807,S1,Q-LS1-1,1761136807,B,0,0,[]
A1761136765,S1,Q-LS1-1,1761136765,A,1,0,[]
A1761136754,S1,Q-LS1-1,1761136754,A,1,0,[]
